序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
155,601865,福莱特,30.64亿,--,4.07亿,--,0.23,2.04,11.79%,2019-03-13
156,603701,德宏股份,4.59亿,-9.84%,1.11亿,36.21%,0.78,4.87,17.34%,2019-03-13
157,000096,广聚能源,16.54亿,33.06%,1.09亿,-27.34%,0.21,4.69,4.49%,2019-03-12
158,600498,烽火通信,242.36亿,--,8.42亿,--,0.75,8.54,8.63%,2019-03-12
159,600015,华夏银行,722.27亿,--,722.27亿,--,1.56,12.81,12.67%,2019-03-09
160,000902,新洋丰,101.07亿,10.12%,8.21亿,20.39%,0.63,4.77,13.85%,2019-03-09
161,603777,来伊份,38.91亿,7.01%,"1,026.55万",-89.74%,0.03,5.44,0.55%,2019-03-08
162,600909,华安证券,17.61亿,-8.92%,5.54亿,-17.68%,0.15,3.46,4.47%,2019-03-08
163,000889,中嘉博创,30.74亿,46.01%,2.59亿,9.55%,0.41,5.39,8.74%,2019-03-08
164,000628,高新发展,9.53亿,66.47%,"5,474.47万",124.39%,0.18,2.61,6.99%,2019-03-08
165,600612,老凤祥,437.84亿,9.98%,12.09亿,6.40%,2.31,11.84,20.33%,2019-03-08
166,000557,西部创业,7.61亿,--,1.47亿,--,0.10,3.38,3.60%,2019-03-07
167,603801,志邦家居,24.33亿,--,2.73亿,--,1.71,11.70,15.42%,2019-03-06
168,603239,浙江仙通,7.06亿,-3.38%,1.22亿,-26.21%,0.45,3.62,12.48%,2019-03-06
169,601368,绿城水务,13.36亿,--,2.80亿,--,0.38,4.41,8.90%,2019-03-06
170,603883,老百姓,94.84亿,--,4.35亿,--,1.53,10.69,14.57%,2019-03-06
171,601009,南京银行,274.02亿,10.37%,274.02亿,10.37%,1.26,8.01,17.00%,2019-03-06
172,000037,深南电A,18.85亿,--,"1,925.38万",--,0.03,3.28,0.98%,2019-03-06
173,600895,张江高科,11.48亿,-10.97%,5.44亿,16.42%,0.35,5.66,6.33%,2019-03-06
174,600663,陆家嘴,126.39亿,35.54%,33.50亿,7.04%,1.00,4.79,22.03%,2019-03-06
175,603916,苏博特,23.16亿,--,2.69亿,--,0.88,6.74,13.46%,2019-03-05
176,603233,大参林,89.49亿,--,5.33亿,--,1.33,7.60,18.36%,2019-03-05
177,603019,中科曙光,90.58亿,43.93%,4.35亿,42.67%,0.68,5.92,12.73%,2019-03-05
178,603648,畅联股份,12.33亿,7.17%,1.43亿,2.78%,0.39,4.43,8.99%,2019-03-05
179,601128,常熟银行,58.04亿,17.30%,58.04亿,17.30%,0.67,5.68,12.68%,2019-03-05
180,600648,外高桥,77.76亿,-13.19%,8.30亿,12.27%,0.73,8.97,8.11%,2019-03-05
181,600202,哈空调,7.69亿,--,"2,083.97万",--,0.05,1.61,3.44%,2019-03-05
182,000818,航锦科技,38.45亿,13.02%,5.05亿,109.02%,0.74,3.52,18.70%,2019-03-04
183,600639,浦东金桥,27.61亿,64.98%,9.77亿,32.50%,0.87,7.87,11.25%,2019-03-04
184,603269,海鸥股份,6.08亿,--,"3,215.20万",--,0.35,7.08,5.04%,2019-03-02
185,000802,北京文化,11.83亿,--,3.27亿,--,0.45,7.11,6.65%,2019-03-02
186,000529,广弘控股,24.99亿,--,1.67亿,--,0.29,2.56,11.67%,2019-03-02
187,600801,华新水泥,274.66亿,31.49%,274.66亿,31.49%,3.46,11.13,36.36%,2019-03-02
188,600076,康欣新材,22.94亿,--,4.67亿,--,0.45,3.62,13.10%,2019-03-02
