序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
1029,300425,环能科技,11.85亿,46.21%,1.43亿,54.59%,0.21,2.31,9.38%,2019-02-27
1030,300434,金石东方,9.73亿,37.92%,1.42亿,21.05%,0.35,6.56,5.50%,2019-02-27
1031,300415,伊之密,20.15亿,0.25%,1.71亿,-37.39%,0.40,2.62,15.55%,2019-02-27
1032,002751,易尚展示,11.22亿,53.12%,"8,118.25万",78.71%,0.54,6.64,9.37%,2019-02-27
1033,300426,唐德影视,3.72亿,-70.31%,-9.27亿,-534.79%,-2.32,0.65,-126.66%,2019-02-27
1034,300622,博士眼镜,5.66亿,20.12%,"5,899.21万",13.32%,0.68,5.79,12.40%,2019-02-27
1035,300360,炬华科技,8.73亿,-10.08%,1.37亿,-12.48%,0.34,5.27,6.54%,2019-02-27
1036,300374,恒通科技,7.71亿,-27.35%,"7,088.19万",-0.23%,0.29,5.99,4.90%,2019-02-27
1037,300396,迪瑞医疗,9.33亿,7.29%,1.98亿,16.50%,0.72,5.01,15.11%,2019-02-27
1038,300386,飞天诚信,10.72亿,-2.76%,1.36亿,8.94%,0.32,4.20,7.94%,2019-02-27
1039,002730,电光科技,9.39亿,16.47%,"6,183.86万",8.27%,0.19,2.93,6.71%,2019-02-27
1040,002750,龙津药业,3.36亿,10.36%,"1,377.21万",-60.69%,0.03,1.62,2.14%,2019-02-27
1041,300410,正业科技,13.90亿,7.12%,"1,523.36万",-91.98%,0.08,10.34,0.75%,2019-02-27
1042,300380,安硕信息,5.49亿,6.49%,"2,889.40万",135.58%,0.21,3.13,6.91%,2019-02-27
1043,300503,昊志机电,4.61亿,7.53%,"5,239.05万",-29.78%,0.23,3.19,7.45%,2019-02-27
1044,002815,崇达技术,36.56亿,17.82%,5.63亿,26.81%,0.69,3.49,20.80%,2019-02-27
1045,002718,友邦吊顶,7.25亿,7.59%,1.05亿,-19.63%,1.20,13.57,9.12%,2019-02-27
1046,002724,海洋王,12.53亿,14.24%,1.86亿,22.73%,0.26,2.63,10.25%,2019-02-27
1047,300412,迦南科技,5.77亿,29.29%,"3,531.28万",-14.63%,0.14,3.03,4.54%,2019-02-27
1048,300395,菲利华,7.22亿,32.38%,1.61亿,29.64%,0.54,3.53,16.70%,2019-02-27
1049,300499,高澜股份,6.53亿,16.84%,"6,011.70万",41.16%,0.50,5.52,9.20%,2019-02-27
1050,300403,汉宇集团,7.98亿,2.57%,1.64亿,1.33%,0.27,2.21,11.39%,2019-02-27
1051,300384,三联虹普,6.18亿,103.84%,1.13亿,25.54%,0.36,5.14,6.96%,2019-02-27
1052,300391,康跃科技,8.81亿,31.01%,1.05亿,46.38%,0.46,6.15,7.66%,2019-02-27
1053,300418,昆仑万维,35.49亿,3.28%,10.01亿,-1.80%,0.88,4.61,14.86%,2019-02-27
1054,300343,联创互联,36.25亿,30.90%,-17.26亿,-565.09%,-2.92,3.84,-50.00%,2019-02-27
1055,300409,道氏技术,35.44亿,108.64%,2.22亿,43.25%,0.57,5.20,13.92%,2019-02-27
1056,300379,东方通,3.77亿,26.83%,1.25亿,--,0.45,5.15,8.38%,2019-02-27
1057,300356,光一科技,4.36亿,-19.36%,"2,237.03万",--,0.05,2.56,2.14%,2019-02-27
1058,300337,银邦股份,19.40亿,-2.46%,"-5,264.73万",-682.98%,-0.06,1.80,-3.49%,2019-02-27
1059,300334,津膜科技,7.07亿,12.73%,"1,948.58万",--,0.07,5.55,1.18%,2019-02-27
1060,002900,哈三联,21.73亿,89.11%,2.06亿,12.44%,0.65,6.15,10.89%,2019-02-27
1061,300339,润和软件,20.31亿,25.95%,3.14亿,26.22%,0.40,5.81,6.86%,2019-02-27
1062,002851,麦格米特,23.94亿,60.19%,2.04亿,71.47%,0.72,5.27,13.97%,2019-02-27
1063,002850,科达利,20.00亿,37.84%,"8,755.13万",-49.14%,0.42,10.96,3.85%,2019-02-27
1064,300319,麦捷科技,17.06亿,18.74%,1.34亿,--,0.19,2.90,6.86%,2019-02-27
1065,300608,思特奇,7.84亿,6.80%,"8,983.60万",38.78%,0.85,6.85,12.36%,2019-02-27
1066,300315,掌趣科技,20.04亿,13.35%,-31.68亿,"-1,261.79%",-1.15,1.86,-45.58%,2019-02-27
1067,300302,同有科技,4.06亿,7.03%,"2,175.90万",-57.26%,0.05,1.94,2.79%,2019-02-27
1068,002676,顺威股份,16.26亿,4.51%,590.66万,--,0.01,1.44,0.57%,2019-02-27
1069,300314,戴维医疗,3.00亿,-1.26%,"2,875.35万",-43.86%,0.10,2.75,3.63%,2019-02-27
1070,300582,英飞特,9.61亿,26.39%,"7,010.97万",158.33%,0.35,4.96,7.31%,2019-02-27
1071,300304,云意电气,6.59亿,2.74%,1.41亿,-0.15%,0.16,2.14,7.90%,2019-02-27
1072,300296,利亚德,77.51亿,19.06%,12.60亿,4.36%,0.50,3.05,17.45%,2019-02-27
1073,002653,海思科,34.27亿,84.61%,3.35亿,39.92%,0.31,1.90,17.13%,2019-02-27
1074,300307,慈星股份,17.11亿,23.09%,1.58亿,-33.87%,0.20,5.10,3.91%,2019-02-27
1075,300291,华录百纳,6.25亿,-72.39%,-33.69亿,"-3,207.20%",-4.15,3.70,-71.65%,2019-02-27
1076,300532,今天国际,4.16亿,-26.94%,"2,044.99万",-77.87%,0.07,2.78,2.66%,2019-02-27
1077,002657,中科金财,14.91亿,22.31%,855.84万,--,0.03,7.48,0.34%,2019-02-27
1078,300695,兆丰股份,4.97亿,-18.26%,1.95亿,-3.19%,2.92,25.84,11.63%,2019-02-27
1079,300350,华鹏飞,9.56亿,-0.80%,-5.54亿,-876.54%,-1.07,2.15,-36.31%,2019-02-27
1080,300297,蓝盾股份,22.53亿,1.44%,3.82亿,-5.13%,0.33,3.77,9.03%,2019-02-27
1081,002668,奥马电器,78.47亿,12.67%,-18.52亿,-579.47%,-1.71,2.28,-72.81%,2019-02-27
1082,300288,朗玛信息,4.57亿,9.13%,"9,426.70万",-7.24%,0.28,3.87,7.49%,2019-02-27
1083,300281,金明精机,3.84亿,-7.41%,"2,361.54万",-35.06%,0.06,2.90,1.95%,2019-02-27
1084,300279,和晶科技,12.60亿,-12.26%,-6.87亿,-844.07%,-1.53,2.18,-51.69%,2019-02-27
1085,002648,卫星石化,100.29亿,23.47%,9.33亿,-0.69%,0.88,7.54,12.28%,2019-02-27
1086,300278,华昌达,30.88亿,3.29%,"1,882.10万",-69.28%,0.03,2.83,1.01%,2019-02-27
1087,002634,棒杰股份,4.25亿,-5.35%,"1,815.56万",-62.72%,0.04,1.49,2.64%,2019-02-27
1088,002623,亚玛顿,15.35亿,-4.78%,"7,935.48万",--,0.50,13.85,3.65%,2019-02-27
1089,300666,江丰电子,6.50亿,18.17%,"5,698.40万",-12.74%,0.26,2.80,9.70%,2019-02-27
1090,300283,温州宏丰,11.73亿,16.72%,"2,137.57万",239.27%,0.05,1.41,3.71%,2019-02-27
1091,300274,阳光电源,105.35亿,18.91%,8.01亿,-22.89%,0.55,5.30,10.78%,2019-02-27
1092,300266,兴源环境,23.16亿,-37.16%,-12.71亿,-458.72%,-0.81,1.58,-40.70%,2019-02-27
1093,002745,木林森,177.49亿,116.44%,7.18亿,10.19%,0.60,7.49,8.86%,2019-02-27
1094,300263,隆华科技,16.38亿,52.48%,1.36亿,195.97%,0.15,2.84,5.38%,2019-02-27
1095,300267,尔康制药,23.80亿,-16.86%,2.27亿,-63.65%,0.11,2.72,4.11%,2019-02-27
1096,300254,仟源医药,11.38亿,21.15%,742.39万,-68.97%,0.04,3.84,0.92%,2019-02-27
1097,002608,江苏国信,221.35亿,9.56%,26.26亿,20.50%,0.74,6.41,12.39%,2019-02-27
1098,300244,迪安诊断,69.70亿,39.52%,3.87亿,10.73%,0.70,5.92,15.53%,2019-02-27
1099,002597,金禾实业,41.34亿,--,9.20亿,--,1.63,7.04,25.33%,2019-02-27
1100,002734,利民股份,15.19亿,6.58%,2.07亿,46.32%,0.74,9.65,11.66%,2019-02-27
1101,300237,美晨生态,35.50亿,-8.71%,3.72亿,-38.74%,0.26,2.42,10.16%,2019-02-27
1102,300230,永利股份,34.45亿,11.58%,3.86亿,33.08%,0.47,3.77,13.33%,2019-02-27
1103,300232,洲明科技,45.40亿,50.02%,4.15亿,40.18%,0.54,3.12,20.73%,2019-02-27
1104,002586,围海股份,35.59亿,26.65%,2.71亿,33.09%,0.24,4.69,5.54%,2019-02-27
1105,300228,富瑞特装,15.03亿,-14.11%,"1,304.01万",-76.23%,0.03,3.83,0.71%,2019-02-27
1106,300231,银信科技,12.22亿,30.59%,1.13亿,-5.65%,0.26,3.14,13.69%,2019-02-27
1107,300227,光韵达,5.81亿,12.77%,"6,817.00万",12.79%,0.31,3.46,9.30%,2019-02-27
1108,300222,科大智能,36.61亿,43.03%,3.96亿,17.43%,0.56,6.17,9.27%,2019-02-27
1109,300257,开山股份,26.02亿,15.58%,1.24亿,18.41%,0.14,4.07,3.61%,2019-02-27
1110,300209,天泽信息,9.00亿,-2.03%,"2,488.23万",-77.11%,0.09,6.84,1.20%,2019-02-27
1111,300210,森远股份,3.71亿,-16.89%,"-9,820.42万",-277.41%,-0.20,2.46,-7.91%,2019-02-27
1112,002581,未名医药,6.65亿,-43.55%,"-9,536.93万",-124.51%,-0.14,4.29,-3.32%,2019-02-27
1113,002579,中京电子,17.38亿,61.40%,"8,060.97万",215.04%,0.21,2.71,8.04%,2019-02-27
1114,300226,上海钢联,959.93亿,30.24%,1.20亿,138.91%,0.75,6.01,13.45%,2019-02-27
1115,300199,翰宇药业,12.78亿,2.45%,-3.14亿,-186.62%,-0.34,3.68,-8.61%,2019-02-27
1116,300204,舒泰神,8.06亿,--,1.34亿,--,0.28,5.16,5.80%,2019-02-27
1117,300214,日科化学,15.69亿,-26.51%,1.00亿,4.07%,0.23,3.80,6.25%,2019-02-27
1118,300192,科斯伍德,9.60亿,103.38%,"2,614.78万",312.13%,0.11,3.03,3.64%,2019-02-27
1119,300188,美亚柏科,16.36亿,23.17%,3.05亿,15.80%,0.39,3.21,12.27%,2019-02-27
1120,300198,纳川股份,11.34亿,-22.91%,-4.43亿,-726.70%,-0.43,1.08,-31.15%,2019-02-27
1121,300340,科恒股份,22.02亿,4.65%,"5,613.99万",-58.80%,0.26,6.78,3.92%,2019-02-27
1122,300330,华虹计通,2.07亿,-8.08%,"-1,930.59万",-421.66%,-0.12,2.19,-5.10%,2019-02-27
1123,300182,捷成股份,53.54亿,24.07%,1.02亿,-91.83%,0.04,3.81,1.04%,2019-02-27
1124,002546,新联电子,7.07亿,14.95%,1.56亿,37.66%,0.19,3.48,5.45%,2019-02-27
1125,300193,佳士科技,8.93亿,--,1.91亿,--,0.38,4.76,8.08%,2019-02-27
1126,002542,中化岩土,35.66亿,28.21%,2.34亿,-0.17%,0.13,2.15,6.32%,2019-02-27
1127,002551,尚荣医疗,16.34亿,-16.46%,1.09亿,-34.59%,0.15,3.30,4.76%,2019-02-27
1128,002609,捷顺科技,9.26亿,-2.59%,"9,362.18万",-54.37%,0.14,3.35,4.20%,2019-02-27
1129,300191,潜能恒信,1.09亿,32.94%,"2,798.29万",--,0.09,3.70,2.39%,2019-02-27
1130,300165,天瑞仪器,10.33亿,30.41%,"3,551.28万",-63.58%,0.08,3.47,2.17%,2019-02-27
1131,300208,青岛中程,12.99亿,-15.72%,1.96亿,-43.88%,0.26,2.82,9.73%,2019-02-27
1132,300169,天晟新材,9.06亿,19.16%,"1,612.25万",--,0.05,3.67,1.36%,2019-02-27
1133,002531,天顺风能,38.94亿,15.19%,4.90亿,3.85%,0.28,2.94,9.67%,2019-02-27
1134,300147,香雪制药,25.04亿,13.45%,"5,643.93万",-19.86%,0.09,5.19,1.64%,2019-02-27
1135,002606,大连电瓷,6.05亿,-27.40%,"-1,883.50万",-129.00%,-0.05,2.15,-2.14%,2019-02-27
1136,300155,安居宝,8.99亿,7.88%,"3,277.00万",187.94%,0.06,2.16,2.83%,2019-02-27
1137,300157,恒泰艾普,15.36亿,-51.75%,"3,415.36万",--,0.05,4.73,1.03%,2019-02-27
1138,300148,天舟文化,11.26亿,20.33%,-10.77亿,-820.64%,-1.31,3.75,-29.71%,2019-02-27
1139,300145,中金环境,42.80亿,9.90%,4.26亿,-37.45%,0.22,2.56,8.85%,2019-02-27
1140,300289,利德曼,6.75亿,17.20%,"4,984.73万",-29.50%,0.12,3.15,3.77%,2019-02-27
1141,002507,涪陵榨菜,19.14亿,25.92%,6.62亿,59.78%,0.84,3.13,30.22%,2019-02-27
1142,300331,苏大维格,11.65亿,23.30%,"6,547.00万",-31.40%,0.29,6.38,4.62%,2019-02-27
1143,300154,瑞凌股份,5.77亿,-10.94%,1.09亿,26.33%,0.24,3.53,6.87%,2019-02-27
1144,300164,通源石油,15.91亿,95.17%,1.10亿,160.93%,0.25,3.81,6.57%,2019-02-27
1145,002501,*ST利源,4.68亿,-84.63%,-40.71亿,-816.59%,-3.35,3.24,-68.28%,2019-02-27
1146,300136,信维通信,47.07亿,36.98%,10.24亿,15.31%,1.04,3.81,31.50%,2019-02-27
1147,300137,先河环保,13.74亿,26.37%,2.64亿,37.54%,0.48,3.29,15.29%,2019-02-27
1148,300131,英唐智控,121.14亿,62.04%,1.41亿,-9.96%,0.13,1.60,8.16%,2019-02-27
1149,300135,宝利国际,20.46亿,18.10%,"4,728.98万",39.62%,0.05,1.34,3.88%,2019-02-27
1150,300134,大富科技,18.29亿,3.47%,"2,212.31万",--,0.03,6.97,0.41%,2019-02-27
1151,300329,海伦钢琴,5.28亿,12.45%,"5,378.12万",33.15%,0.21,3.52,6.25%,2019-02-27
1152,002615,哈尔斯,18.07亿,23.47%,1.06亿,-12.38%,0.26,2.01,12.33%,2019-02-27
1153,002487,大金重工,9.70亿,-5.02%,"6,241.34万",50.40%,0.11,3.27,3.52%,2019-02-27
1154,300123,亚光科技,14.67亿,37.61%,1.90亿,61.31%,0.34,8.53,4.07%,2019-02-27
1155,002521,齐峰新材,36.79亿,2.96%,"5,835.35万",-63.65%,0.12,6.82,1.73%,2019-02-27
1156,300138,晨光生物,30.49亿,9.79%,1.57亿,9.23%,0.31,3.42,9.29%,2019-02-27
1157,300119,瑞普生物,11.90亿,13.92%,1.20亿,10.22%,0.30,4.97,6.09%,2019-02-27
1158,002480,新筑股份,19.53亿,17.65%,"1,409.46万",12.56%,0.02,3.58,0.61%,2019-02-27
1159,002477,*ST雏鹰,39.55亿,-32.17%,-30.41亿,"-2,816.94%",-0.97,0.60,-88.31%,2019-02-27
1160,300120,经纬辉开,20.86亿,134.71%,1.39亿,162.94%,0.36,4.91,7.48%,2019-02-27
1161,002614,奥佳华,53.64亿,27.24%,4.50亿,30.15%,0.81,5.80,14.54%,2019-02-27
1162,002595,豪迈科技,37.37亿,25.45%,7.59亿,13.70%,0.95,5.45,18.49%,2019-02-27
1163,002527,新时达,35.34亿,3.50%,-2.53亿,-275.41%,-0.40,4.36,-8.87%,2019-02-27
1164,300156,神雾环保,1.06亿,-96.24%,-14.93亿,-513.51%,-1.48,1.27,-73.42%,2019-02-27
1165,300109,新开源,6.98亿,43.58%,"9,100.27万",-0.22%,0.42,5.86,7.06%,2019-02-27
1166,300116,坚瑞沃能,39.06亿,-59.56%,-38.16亿,--,-1.57,0.15,-171.19%,2019-02-27
1167,300133,华策影视,58.75亿,12.88%,2.13亿,-66.31%,0.12,3.89,3.09%,2019-02-27
1168,300118,东方日升,95.77亿,-16.54%,2.71亿,-57.44%,0.30,8.20,3.55%,2019-02-27
1169,300113,顺网科技,19.86亿,9.72%,3.59亿,-29.67%,0.52,4.30,11.88%,2019-02-27
1170,300107,建新股份,14.21亿,165.09%,6.56亿,642.98%,1.20,2.88,50.04%,2019-02-27
1171,002468,申通快递,170.14亿,34.42%,170.14亿,"1,043.41%",1.34,5.55,26.30%,2019-02-27
1172,300104,乐视网,16.04亿,-78.51%,-20.26亿,--,-0.51,-0.26,--,2019-02-27
1173,300092,科新机电,4.76亿,42.53%,667.48万,8.76%,0.03,2.34,1.21%,2019-02-27
1174,300100,双林股份,55.62亿,29.63%,"-4,482.45万",-122.24%,-0.10,5.86,-1.49%,2019-02-27
1175,601966,玲珑轮胎,153.02亿,9.98%,12.58亿,21.61%,1.05,8.40,13.30%,2019-02-27
1176,300089,文化长城,11.59亿,116.37%,2.00亿,168.76%,0.43,4.97,9.16%,2019-02-27
1177,300124,汇川技术,58.67亿,22.78%,11.66亿,9.50%,0.71,3.75,19.98%,2019-02-27
1178,300253,卫宁健康,14.40亿,19.03%,3.02亿,27.45%,0.19,1.93,10.54%,2019-02-27
1179,002451,摩恩电气,5.85亿,25.14%,831.40万,-85.18%,0.02,1.50,1.27%,2019-02-27
1180,300081,恒信东方,7.42亿,69.06%,2.27亿,123.40%,0.43,4.62,9.64%,2019-02-27
1181,300086,康芝药业,8.83亿,83.83%,"1,336.62万",-71.84%,0.03,3.43,0.78%,2019-02-27
1182,002444,巨星科技,59.32亿,33.52%,7.39亿,29.23%,0.69,6.22,11.64%,2019-02-27
1183,300074,华平股份,4.51亿,-1.03%,"1,605.87万",-52.57%,0.03,2.23,1.34%,2019-02-27
1184,002622,融钰集团,4.22亿,116.54%,"3,684.32万",-48.99%,0.04,1.52,2.93%,2019-02-27
1185,300080,易成新能,27.87亿,52.63%,-3.11亿,--,-0.62,3.03,-18.61%,2019-02-27
1186,300076,GQY视讯,1.97亿,44.84%,"2,074.30万",--,0.05,2.38,2.07%,2019-02-27
1187,300067,安诺其,11.60亿,-12.98%,1.38亿,--,0.19,2.24,8.77%,2019-02-27
1188,002426,胜利精密,173.90亿,9.27%,-7.34亿,-259.18%,-0.21,2.31,-8.74%,2019-02-27
1189,002573,清新环境,40.18亿,-1.47%,5.26亿,-23.09%,0.49,4.31,11.56%,2019-02-27
1190,002465,海格通信,40.78亿,19.67%,4.30亿,46.14%,0.19,3.65,5.19%,2019-02-27
1191,002580,圣阳股份,18.36亿,7.56%,"1,615.94万",-48.15%,0.05,3.35,1.37%,2019-02-27
1192,300062,中能电气,9.35亿,16.07%,"1,839.97万",--,0.06,2.60,2.29%,2019-02-27
1193,002411,延安必康,84.91亿,57.05%,4.30亿,-54.27%,0.28,6.11,4.66%,2019-02-27
1194,002402,和而泰,26.71亿,34.92%,2.22亿,24.07%,0.27,1.87,15.30%,2019-02-27
1195,002404,嘉欣丝绸,31.81亿,14.71%,1.44亿,28.39%,0.25,3.04,8.66%,2019-02-27
1196,300185,通裕重工,35.41亿,12.63%,2.19亿,-0.92%,0.07,1.58,4.28%,2019-02-27
1197,002390,信邦制药,65.81亿,9.61%,-12.91亿,-503.42%,-0.77,2.99,-21.81%,2019-02-27
1198,300579,数字认证,6.68亿,28.45%,"8,674.96万",3.64%,0.72,5.11,15.09%,2019-02-27
1199,002378,章源钨业,18.69亿,2.11%,"4,628.29万",46.79%,0.05,2.16,2.34%,2019-02-27
1200,300050,世纪鼎利,10.20亿,15.46%,"5,355.87万",-53.79%,0.10,5.23,1.90%,2019-02-27
1201,300046,台基股份,4.18亿,50.05%,"8,575.69万",62.98%,0.40,4.20,9.92%,2019-02-27
1202,002376,新北洋,26.35亿,41.63%,3.81亿,34.09%,0.58,4.81,13.19%,2019-02-27
1203,002368,太极股份,60.19亿,13.57%,3.16亿,9.24%,0.76,6.85,11.55%,2019-02-27
1204,300039,上海凯宝,15.03亿,-4.86%,2.29亿,-19.94%,0.21,2.32,9.47%,2019-02-27
1205,300029,天龙光电,957.66万,-97.13%,-1.50亿,-309.80%,-0.75,0.52,-83.40%,2019-02-27
1206,002352,顺丰控股,909.43亿,27.92%,909.43亿,27.92%,1.03,8.27,13.21%,2019-02-27
1207,002538,司尔特,32.42亿,21.01%,3.06亿,50.70%,0.43,4.91,8.95%,2019-02-27
1208,002334,英威腾,22.88亿,6.59%,2.24亿,-2.19%,0.30,2.47,12.67%,2019-02-27
1209,300017,网宿科技,63.37亿,18.28%,8.03亿,-2.86%,0.33,3.56,9.65%,2019-02-27
1210,300407,凯发电气,16.36亿,12.17%,"1,625.93万",-75.81%,0.06,4.01,1.62%,2019-02-27
1211,300406,九强生物,7.74亿,11.52%,3.01亿,10.38%,0.61,3.39,17.94%,2019-02-27
1212,002377,国创高新,45.45亿,77.54%,3.12亿,668.86%,0.34,5.57,6.31%,2019-02-27
1213,300087,荃银高科,9.16亿,-3.32%,"6,810.38万",9.03%,0.16,1.86,8.41%,2019-02-27
1214,300321,同大股份,4.69亿,7.43%,"2,879.82万",18.34%,0.32,6.94,4.76%,2019-02-27
1215,300001,特锐德,58.06亿,13.73%,2.01亿,-27.80%,0.20,3.15,6.49%,2019-02-27
1216,300003,乐普医疗,63.47亿,37.76%,12.34亿,37.38%,0.69,3.59,19.36%,2019-02-27
1217,300027,华谊兄弟,38.98亿,0.69%,-9.86亿,-218.99%,-0.35,3.11,-10.78%,2019-02-27
1218,300045,华力创通,6.77亿,18.61%,1.20亿,40.84%,0.19,3.04,8.46%,2019-02-27
1219,300101,振芯科技,4.44亿,-0.59%,"1,554.46万",-51.11%,0.03,1.71,1.70%,2019-02-27
1220,300032,金龙机电,28.68亿,-26.72%,-22.88亿,--,-2.85,1.91,-78.94%,2019-02-27
1221,300277,海联讯,2.64亿,-11.26%,707.32万,11.92%,0.02,1.43,1.48%,2019-02-27
1222,300007,汉威科技,15.12亿,4.72%,"5,784.37万",-52.52%,0.20,4.95,4.06%,2019-02-27
1223,300058,蓝色光标,232.60亿,52.50%,4.00亿,65.55%,0.18,2.91,6.47%,2019-02-27
1224,300075,数字政通,12.74亿,1.91%,1.17亿,-31.71%,0.28,5.20,5.50%,2019-02-27
1225,002478,常宝股份,53.81亿,53.92%,4.85亿,233.14%,0.50,4.14,12.22%,2019-02-27
1226,300444,双杰电气,19.26亿,37.59%,1.90亿,81.39%,0.33,2.48,14.10%,2019-02-27
1227,300353,东土科技,9.40亿,14.47%,1.01亿,-19.53%,0.20,4.35,4.55%,2019-02-27
1228,300367,东方网力,22.42亿,20.45%,3.16亿,-18.05%,0.37,4.65,8.35%,2019-02-27
1229,300038,数知科技,55.27亿,103.77%,7.13亿,46.24%,0.61,9.03,6.96%,2019-02-27
1230,300065,海兰信,7.70亿,-4.14%,1.07亿,5.18%,0.29,4.24,6.58%,2019-02-27
1231,300070,碧水源,117.10亿,-22.77%,13.64亿,-46.80%,0.43,6.12,7.29%,2019-02-27
1232,002599,盛通股份,18.48亿,31.63%,1.26亿,34.27%,0.39,4.83,7.95%,2019-02-27
1233,300747,锐科激光,14.62亿,--,4.33亿,--,3.86,15.89,34.15%,2019-02-27
1234,002299,圣农发展,115.48亿,13.67%,15.11亿,385.18%,1.22,6.26,21.58%,2019-02-27
1235,300015,爱尔眼科,80.15亿,34.69%,10.09亿,36.34%,0.43,2.39,18.49%,2019-02-27
1236,300115,长盈精密,86.46亿,2.55%,"3,968.87万",-93.05%,0.04,4.80,0.90%,2019-02-27
1237,300028,金亚科技,"1,315.74万",-42.99%,209.82万,--,0.01,0.51,1.20%,2019-02-27
1238,002274,华昌化工,58.06亿,9.31%,1.45亿,155.08%,0.23,4.14,5.50%,2019-02-27
1239,002236,大华股份,236.66亿,25.53%,25.32亿,6.45%,0.87,4.21,22.21%,2019-02-27
1240,002237,恒邦股份,212.01亿,8.59%,4.04亿,12.10%,0.44,4.80,8.67%,2019-02-27
1241,002227,奥特迅,3.50亿,-3.84%,"1,015.92万",-28.91%,0.05,3.68,1.26%,2019-02-27
1242,300140,中环装备,18.36亿,-3.35%,"3,490.11万",-52.79%,0.10,4.89,2.62%,2019-02-27
1243,300114,中航电测,13.88亿,11.87%,1.56亿,20.66%,0.26,2.47,10.29%,2019-02-27
1244,300557,理工光科,2.05亿,-8.58%,"1,845.82万",-49.09%,0.33,8.72,3.83%,2019-02-27
1245,002212,南洋股份,64.56亿,25.07%,5.01亿,7.74%,0.44,7.17,6.07%,2019-02-27
1246,002213,特尔佳,1.24亿,4.80%,106.02万,-90.27%,0.01,1.78,0.29%,2019-02-27
1247,002199,东晶电子,1.77亿,-23.70%,"-7,674.75万","-4,864.41%",-0.32,1.58,-18.19%,2019-02-27
1248,002423,中原特钢,10.26亿,5.41%,"-8,808.55万",--,-0.18,2.94,-5.77%,2019-02-27
1249,300161,华中数控,8.20亿,--,"1,635.56万",--,0.09,6.71,1.42%,2019-02-27
1250,300477,合纵科技,20.08亿,-4.84%,"5,688.63万",-59.47%,0.10,3.35,3.62%,2019-02-27
1251,002179,中航光电,78.16亿,22.86%,9.54亿,15.56%,1.22,7.64,17.84%,2019-02-27
1252,002295,精艺股份,57.58亿,5.56%,"4,715.58万",-21.93%,0.19,4.58,4.06%,2019-02-27
1253,300644,南京聚隆,10.18亿,--,"2,302.68万",--,0.38,10.63,3.57%,2019-02-27
1254,002165,红宝丽,24.66亿,13.25%,"2,846.41万",-34.28%,0.05,2.49,1.87%,2019-02-27
1255,002171,楚江新材,131.05亿,18.66%,4.08亿,13.03%,0.39,3.73,11.67%,2019-02-27
1256,002163,中航三鑫,47.77亿,3.75%,"3,264.80万",--,0.04,0.85,4.83%,2019-02-27
1257,002151,北斗星通,30.56亿,43.30%,1.05亿,3.04%,0.21,7.92,2.40%,2019-02-27
1258,002147,ST新光,21.32亿,-1.25%,-2.00亿,-114.77%,-0.11,4.28,-2.52%,2019-02-27
1259,002152,广电运通,54.59亿,22.63%,6.71亿,-25.42%,0.28,3.60,7.49%,2019-02-27
1260,002137,麦达数字,10.35亿,10.89%,-3.93亿,-658.17%,-0.68,2.27,-26.11%,2019-02-27
1261,002128,露天煤业,82.30亿,8.44%,20.27亿,15.53%,1.24,7.52,17.56%,2019-02-27
1262,002136,安纳达,10.36亿,-9.36%,"4,609.90万",-71.85%,0.21,3.22,6.80%,2019-02-27
1263,300446,乐凯新材,2.64亿,2.41%,1.03亿,-1.26%,0.84,5.04,17.54%,2019-02-27
1264,300760,迈瑞医疗,137.53亿,--,37.19亿,--,3.34,12.47,42.16%,2019-02-27
1265,603348,文灿股份,16.20亿,--,1.25亿,--,0.62,9.27,7.30%,2019-02-27
1266,002783,凯龙股份,18.86亿,38.75%,"8,311.71万",-28.19%,0.25,4.53,5.86%,2019-02-27
1267,002113,ST天润,5.25亿,154.19%,-3.67亿,"-4,134.24%",-0.24,1.59,-16.06%,2019-02-27
1268,002120,韵达股份,138.28亿,37.94%,26.60亿,68.31%,1.88,6.68,28.58%,2019-02-27
1269,002111,威海广泰,21.89亿,21.63%,2.34亿,105.85%,0.61,7.29,8.71%,2019-02-27
1270,002093,国脉科技,9.84亿,-34.54%,1.22亿,-24.35%,0.12,3.14,3.94%,2019-02-27
1271,002090,金智科技,16.51亿,-28.52%,"9,812.16万",-35.95%,0.41,5.20,8.01%,2019-02-27
1272,002094,青岛金王,54.19亿,15.05%,1.10亿,-74.46%,0.19,5.12,3.98%,2019-02-27
1273,002081,金螳螂,250.97亿,19.86%,21.34亿,9.89%,0.80,4.93,17.29%,2019-02-27
1274,002069,獐子岛,28.34亿,-11.71%,"3,358.31万",--,0.05,0.54,9.17%,2019-02-27
1275,300376,易事特,51.84亿,-29.16%,6.71亿,-7.03%,0.29,2.13,14.29%,2019-02-27
1276,002396,星网锐捷,91.32亿,18.32%,5.81亿,19.63%,1.00,6.31,16.90%,2019-02-27
1277,300082,奥克股份,74.33亿,30.58%,3.23亿,54.83%,0.47,4.53,10.88%,2019-02-27
1278,300024,机器人,30.95亿,26.05%,4.48亿,0.01%,0.29,3.99,7.27%,2019-02-27
1279,300180,华峰超纤,30.71亿,23.14%,2.75亿,6.49%,0.31,4.50,5.51%,2019-02-27
1280,002079,苏州固锝,18.86亿,1.55%,"9,369.06万",-9.31%,0.13,2.22,5.96%,2019-02-27
